year	week	away_team	home_team	away_score	home_score	
1	1	0	30	-1	-1	
1	1	2	3	-1	-1	
1	1	5	18	-1	-1	
1	1	7	16	-1	-1	
1	1	8	1	-1	-1	
1	1	9	4	-1	-1	
1	1	11	6	-1	-1	
1	1	15	13	-1	-1	
1	1	17	28	-1	-1	
1	1	19	29	-1	-1	
1	1	20	14	-1	-1	
1	1	21	12	-1	-1	
1	1	23	26	-1	-1	
1	1	24	10	-1	-1	
1	1	25	22	-1	-1	
1	1	27	31	-1	-1	
1	2	1	2	-1	-1	
1	2	3	0	-1	-1	
1	2	4	8	-1	-1	
1	2	5	15	-1	-1	
1	2	6	9	-1	-1	
1	2	10	25	-1	-1	
1	2	12	20	-1	-1	
1	2	13	11	-1	-1	
1	2	17	7	-1	-1	
1	2	18	16	-1	-1	
1	2	22	14	-1	-1	
1	2	23	19	-1	-1	
1	2	24	21	-1	-1	
1	2	26	27	-1	-1	
1	2	29	28	-1	-1	
1	2	31	30	-1	-1	
1	3	0	5	-1	-1	
1	3	2	4	-1	-1	
1	3	7	6	-1	-1	
1	3	9	26	-1	-1	
1	3	10	8	-1	-1	
1	3	14	12	-1	-1	
1	3	16	1	-1	-1	
1	3	19	17	-1	-1	
1	3	20	24	-1	-1	
1	3	21	15	-1	-1	
1	3	25	11	-1	-1	
1	3	27	23	-1	-1	
1	3	28	22	-1	-1	
1	3	29	18	-1	-1	
1	3	30	13	-1	-1	
1	3	31	3	-1	-1	
1	4	4	7	-1	-1	
1	4	6	19	-1	-1	
1	4	8	27	-1	-1	
1	4	9	5	-1	-1	
1	4	11	24	-1	-1	
1	4	12	0	-1	-1	
1	4	13	1	-1	-1	
1	4	14	2	-1	-1	
1	4	15	10	-1	-1	
1	4	16	29	-1	-1	
1	4	18	31	-1	-1	
1	4	20	23	-1	-1	
1	4	21	22	-1	-1	
1	4	26	25	-1	-1	
1	4	28	3	-1	-1	
1	4	30	17	-1	-1	
1	5	0	29	-1	-1	
1	5	1	6	-1	-1	
1	5	2	28	-1	-1	
1	5	3	13	-1	-1	
1	5	5	8	-1	-1	
1	5	11	7	-1	-1	
1	5	12	15	-1	-1	
1	5	14	9	-1	-1	
1	5	18	17	-1	-1	
1	5	19	30	-1	-1	
1	5	22	20	-1	-1	
1	5	23	21	-1	-1	
1	5	25	4	-1	-1	
1	5	26	24	-1	-1	
1	5	27	10	-1	-1	
1	5	31	16	-1	-1	
1	6	1	12	-1	-1	
1	6	2	15	-1	-1	
1	6	4	5	-1	-1	
1	6	6	16	-1	-1	
1	6	7	9	-1	-1	
1	6	10	26	-1	-1	
1	6	13	14	-1	-1	
1	6	17	3	-1	-1	
1	6	20	8	-1	-1	
1	6	21	11	-1	-1	
1	6	22	18	-1	-1	
1	6	24	30	-1	-1	
1	6	27	25	-1	-1	
1	6	28	19	-1	-1	
1	7	0	3	-1	-1	
1	7	5	11	-1	-1	
1	7	6	12	-1	-1	
1	7	10	9	-1	-1	
1	7	13	21	-1	-1	
1	7	14	23	-1	-1	
1	7	16	27	-1	-1	
1	7	19	4	-1	-1	
1	7	25	28	-1	-1	
1	7	26	22	-1	-1	
1	7	29	2	-1	-1	
1	7	30	18	-1	-1	
1	7	31	20	-1	-1	
1	8	2	1	-1	-1	
1	8	3	7	-1	-1	
1	8	8	11	-1	-1	
1	8	10	0	-1	-1	
1	8	12	14	-1	-1	
1	8	15	20	-1	-1	
1	8	16	5	-1	-1	
1	8	17	24	-1	-1	
1	8	18	6	-1	-1	
1	8	19	26	-1	-1	
1	8	22	13	-1	-1	
1	8	23	25	-1	-1	
1	8	27	21	-1	-1	
1	8	28	31	-1	-1	
1	8	30	29	-1	-1	
1	9	0	14	-1	-1	
1	9	1	15	-1	-1	
